review_id,category,label_raw,review_text,source_file,review_time
R0999,水果,0,不好！水果大小不一！而且还不一样！有的皮厚！最大的也到不了75最小的可能只有65多点！不像商家描述的全是75果经,online_shopping_10_cats.csv,2026-04-01 06:42:09
R0702,酒店,0,"中庸的酒店,本来冲着环保房去的,可是,哎,有些失望啊",online_shopping_10_cats.csv,2026-02-09 07:08:20
R0801,酒店,1,不错的酒店，挺实惠的，符合合适的市场定位，石家庄里还挺方便,online_shopping_10_cats.csv,2026-03-27 09:20:39
R0171,计算机,0,"装的是V系统,标配了1G内存,当然不够用了,于是要加内存,心里呼:奸商啊,哈哈.",online_shopping_10_cats.csv,2026-03-05 11:17:21
R0194,热水器,0,第一次烧的很快，第二次就开始慢了，总体还不错,online_shopping_10_cats.csv,2026-02-21 01:36:27
R0892,平板,0,无线卡的要死，信号满格，微信都刷不多，都是……B／s,online_shopping_10_cats.csv,2026-03-15 21:16:10
R0998,平板,0,反应慢，容易卡机，客服不是很用心，需提高素质,online_shopping_10_cats.csv,2026-01-16 04:22:53
R0355,衣服,1,裤子大小刚刚合适，颜色无色差，款式也比较时尚，下次继续购买！,online_shopping_10_cats.csv,2026-03-29 21:39:33
R0451,酒店,0,太吵了，飞机声音太大,online_shopping_10_cats.csv,2026-02-22 11:26:55
R0477,手机,1,信号好！闹铃中有一星期中具体某几日响铃，很方便了！显示屏在强光下，比以前那个明显清晰！,online_shopping_10_cats.csv,2026-02-02 08:38:41
R0213,洗发水,1,非常好用，一直在京东超市买洗发水，物美价廉物流超快！,online_shopping_10_cats.csv,2026-01-08 12:27:40
R0248,平板,0,很失望32G手机内存打开一看只有23G，为什么！！而且包装里面华为的耳机线也没有！！,online_shopping_10_cats.csv,2026-01-14 09:34:56
R0281,衣服,0,东西一般~平时会给好评的~但是看到这京东老板太给力了~也来个差评把,online_shopping_10_cats.csv,2026-02-07 13:48:27
R0051,平板,0,差差差评，买了就便宜，用的特别不好,online_shopping_10_cats.csv,2026-01-19 03:12:49
R0322,蒙牛,0,呼吁广大想自杀的朋友！请认准蒙牛商标！堪称现代版“砒霜”，谨防假冒！效果看得见！,online_shopping_10_cats.csv,2026-03-12 17:06:08
R0719,热水器,1,我这已经是很多次在这家买东西了，卖家服务真的是超好，而且信用是直得信耐的，快递也非常的快，是顺丰哦 ，直得大家放心的去买。,online_shopping_10_cats.csv,2026-03-18 04:49:35
R0511,平板,1,包装很好，一开机提示升级，简间设置一下然后开始使用，反应好快，不错，价钱合理。,online_shopping_10_cats.csv,2026-03-19 09:55:21
R0455,洗发水,0,我觉得不好，和超市比，这个一点味没有，下次不回买,online_shopping_10_cats.csv,2026-01-30 03:46:03
R0673,水果,1,物流快，东西是正品，信赖京东。,online_shopping_10_cats.csv,2026-03-03 21:47:30
R0686,平板,0,京东不讲道理不给退货，枉我曾经那么信任你们,online_shopping_10_cats.csv,2026-01-29 01:42:05
R0125,书籍,0,男的搞婚外情，女的红杏出墙。什么玩意 看了上部的一半就看不下去了，作者想通过这么书表达什么不管，但这种书很容易就传达一种对婚姻不忠的态度，让世人以为这是正常的事情，晕倒。什么和什么嘛。批判强烈批判！这种书也能流行，唉 这时代价值取向真有问题啊。,online_shopping_10_cats.csv,2026-02-06 19:42:22
R0444,洗发水,0,我买的是油性，无硅油，生姜，强根固发的那种，洗过头发感觉油油的，搞不清楚什么回事，第一次用，告诉我，我是不是收到次品了，怎么会这样，京东的快递到是没的说，一只很棒。,online_shopping_10_cats.csv,2026-02-23 07:54:13
R0416,水果,0,"买了几次,一次比一次差的口感,不想再卖=买了.",online_shopping_10_cats.csv,2026-02-02 22:51:10
R0119,洗发水,0,3支装在一个盒里无任何间隔保护，其中的一支已经打开漏出。,online_shopping_10_cats.csv,2026-04-01 15:29:04
