"评论ID","商品类别","情感倾向（0=负面，1=正面）","具体痛点（正面评论填“无”）","原评论核心内容"
"R0123","个护","0","未收到宣传的吹风机赠品","个护商家未兑现吹风机赠品承诺，消费者未收到赠品"
"R0124","酒店","0","房间狭小、热水限时供应、服务态度差、宣传与实物不符","酒店房间狭小，热水限时供应，服务态度差，宣传与实物不一致"
"R0125","书籍","0","内容涉及婚外情、价值观不当","书籍内容涉及婚外情，传递的价值观存在问题"
"R0126","酒店","0","空调噪音大、前台服务不专业、办理入住效率低、预授权币种操作不当","酒店空调噪音大，前台服务不专业，入住办理效率低，预授权币种操作错误"
"R0127","服装","0","尺码偏大（非严重质量问题，情感倾向为0）","服装产品尺码偏大，非严重质量问题，整体体验一般"
"R0128","3C数码","0","未兑现赠送耳机、返利承诺、客服不可信","3C数码商家未兑现耳机和返利承诺，客服可信度低"
"R0129","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0130","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0131","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0132","书籍","0","内容不吸引人、用词生僻、与宣传不符","书籍内容不吸引人，用词生僻，内容与宣传不一致"
"R0133","酒店","1","无","酒店入住体验良好，无负面问题"
"R0134","个护","0","使用后头皮瘙痒","个护产品使用后出现头皮瘙痒问题，使用效果不佳"
"R0135","3C数码","0","屏幕损坏、充电后屏幕失灵、产品质量问题","3C数码产品屏幕损坏，充电后失灵，存在严重质量问题"
"R0136","家电","1","无","家电产品使用体验良好，无负面问题"
"R0137","个护","0","使用体验差（无具体明细）","个护产品整体使用体验差，未说明具体问题"
"R0138","服装","0","穿着一次后闲置、无其他具体问题","服装产品穿着一次后闲置，无明确具体质量问题"
"R0139","3C数码","0","赠品缺货、需放弃赠品才能按时提货","3C数码赠品缺货，消费者需放弃赠品才能按时提取主产品"
"R0140","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0141","书籍","1","无","书籍内容及品质良好，无负面问题"
"R0142","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0143","个护","0","产生头皮屑、疑似假货","个护产品疑似假货，使用后产生头皮屑，使用效果差"
"R0144","食品饮料","0","品牌态度不佳（无具体明细）","食品饮料品牌服务态度不佳，未说明具体问题"
"R0145","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0146","个护","1","无","个护产品使用体验良好，无负面问题"
"R0147","服装","0","实际颜色与网上展示差异大","服装产品实物颜色与网上展示颜色差异大，货不对板"
"R0148","服装","0","易沾毛、掉色严重","服装产品易沾毛，掉色情况严重，品质不佳"
"R0149","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0150","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0151","个护","1","无","个护产品使用体验良好，无负面问题"
"R0152","生鲜","0","商品混装破损","生鲜产品混装导致出现破损问题，包装方式不当"
"R0153","生鲜","0","个头小、口感酸、性价比低","生鲜产品个头小、口感酸，品质不佳且性价比低"
"R0154","个护","0","疑似退货商品、无包装","个护产品疑似为退货商品，无正规包装"
"R0155","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0156","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0157","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0158","酒店","1","无","酒店入住体验良好，无负面问题"
"R0159","食品饮料","1","无","食品饮料产品品质及口感良好，无负面问题"
"R0160","个护","1","无","个护产品使用体验良好，无负面问题"
"R0161","3C数码","0","商品有划痕、商家拒绝退货、疑似虚假宣传（不支持电信卡）","3C数码产品有划痕，商家拒绝退货，疑似虚假宣传（不支持电信卡）"
"R0162","酒店","0","大巴司机服务态度差","酒店配套大巴司机服务态度差，影响出行体验"
"R0163","酒店","0","房间未及时收拾、有烟味、电视信号差、设施不人性化、早餐性价比低、服务不及同价位酒店","酒店房间收拾不及时、有烟味，电视信号差，设施不人性化，早餐性价比低，服务不如同价位酒店"
"R0164","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0165","酒店","1","无","酒店入住体验良好，无负面问题"
"R0166","个护","1","无","个护产品使用体验良好，无负面问题"
"R0167","3C数码","0","耗电快、使用价值低","3C数码产品耗电速度快，整体使用价值低"
"R0168","3C数码","0","做工差、与实体不符、压迫摄像头和听筒","3C数码配件做工差，与实体机不符，压迫摄像头和听筒"
"R0169","酒店","1","无","酒店入住体验良好，无负面问题"
"R0170","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0171","3C数码","0","系统为V系统、标配内存不足、商家定价策略争议","3C数码产品系统老旧，标配内存不足，商家定价策略存在争议"
"R0172","生鲜","0","商品部分损坏、商家发货不负责任","生鲜产品部分损坏，商家发货环节不负责任"
"R0173","书籍","0","内容肤浅、语句重复","书籍内容肤浅，存在语句重复的问题，内容质量低"
"R0174","书籍","1","无","书籍内容及品质良好，无负面问题"
"R0175","个护","0","疑似假货、与超市购买的差异大、瓶身设计缺陷（挤不出）","个护产品疑似假货，与超市产品差异大，瓶身设计有缺陷（挤不出内容物）"
"R0176","个护","1","无","个护产品使用体验良好，无负面问题"
"R0177","3C数码","0","赠品规则不合理、平台系统问题、客服不作为","3C数码赠品规则不合理，平台系统存在问题，客服不作为"
"R0178","3C数码","0","收货时不允许验货、屏幕质量差、退货处理不及时","3C数码收货时不允许验货，屏幕质量差，退货处理效率低"
"R0179","个护","0","618活动价与日常促销价一致、部分商品加价、发货多次才成功","个护产品618活动价无优惠，部分商品加价，商家多次发货才成功"
"R0180","书籍","0","撤单后礼券无法使用、平台售后规则不合理、客服工作时间受限","书籍撤单后礼券失效，平台售后规则不合理，客服工作时间受限"
"R0181","酒店","1","无","酒店入住体验良好，无负面问题"
"R0182","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0183","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0184","书籍","0","孩子不喜欢（非商品本身质量问题，情感倾向为0）","孩子不喜欢该书籍，非商品本身存在质量问题"
"R0185","酒店","0","性价比低、仅位置便利","酒店仅位置便利，整体性价比低，其他方面体验一般"
"R0186","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0187","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0188","个护","0","平台擅自取消关联订单（纸巾）","平台擅自取消个护产品的关联纸巾订单，操作不合理"
"R0189","个护","1","无","个护产品使用体验良好，无负面问题"
"R0190","生鲜","0","个头小、不新鲜、性价比低","生鲜产品个头小、不新鲜，品质差且性价比低"
"R0191","个护","0","头皮瘙痒、产生头皮屑、疑似假货","个护产品疑似假货，使用后头皮瘙痒、产生头皮屑"
"R0192","个护","0","头皮瘙痒、包装与超市不一致、疑似假货","个护产品包装与超市不一致，疑似假货，使用后头皮瘙痒"
"R0193","3C数码","0","待机时间短、更换电池需重设时间、阳光下屏幕可视性差、关机后闹钟不响、音量小、无法拨打分机","3C数码产品待机短，换电池需重设时间，屏幕可视性差，闹钟、音量、分机拨打均有问题"
"R0194","家电","0","二次加热速度慢（整体体验一般，情感倾向为0）","家电产品二次加热速度慢，整体使用体验一般"
"R0195","酒店","1","无","酒店入住体验良好，无负面问题"
"R0196","个护","0","头皮不适、瘙痒、疑似非正品","个护产品疑似非正品，使用后出现头皮不适、瘙痒问题"
"R0197","个护","0","未收到发票、多次下单均无发票","多次购买个护产品均未收到发票，商家开票服务缺失"
"R0198","3C数码","0","商家逾期不发货、强制取消订单且不退款","3C数码商家逾期不发货，强制取消订单且拒绝退款"
"R0199","服装","0","掉色严重","服装产品掉色情况严重，品质存在问题"
"R0200","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R201","服装","0","洗后缩水严重、版型变形、无售后处理","服装产品清洗后严重缩水、版型变形，商家无售后处理服务"
"R202","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R203","服装","0","刺绣脱线、纽扣易掉、做工粗糙","服装产品刺绣脱线、纽扣易掉，整体做工粗糙"
"R204","服装","1","面料透气、尺码标准、发货快","服装产品面料透气、尺码标准，商家发货速度快"
"R205","服装","0","粘毛严重、不易清洗、穿着闷热","服装产品粘毛严重、不易清洗，穿着体验闷热"
"R206","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R207","服装","0","肩宽设计不合理、穿着磨皮肤","服装产品肩宽设计不合理，穿着时磨皮肤，体验不佳"
"R208","服装","1","印花牢固、不易掉色、性价比高","服装产品印花牢固、不易掉色，产品性价比高"
"R209","服装","0","吊牌与商品信息不符、疑似仿品","服装产品吊牌与商品信息不一致，疑似仿品"
"R210","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R211","服装","0","快递运输中包装破损、商品沾污","服装产品在快递运输中包装破损，导致商品沾污"
"R212","服装","1","退换货流程简单、客服态度好","服装产品退换货流程简单，商家客服服务态度良好"
"R213","服装","0","面料薄透、需内搭、与描述不符","服装产品面料薄透需内搭，实物与商家描述不一致"
"R214","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R215","服装","0","裤长偏短、腰围偏大、尺码设计不合理","服装裤子裤长偏短、腰围偏大，尺码设计不合理"
"R216","3C数码","0","充电速度慢、数据线易断、充电口松动","3C数码产品充电速度慢，数据线易断、充电口松动"
"R217","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R218","3C数码","0","蓝牙连接不稳定、断连频繁、音质差","3C数码产品蓝牙连接不稳定、频繁断连，音质效果差"
"R219","3C数码","1","运行流畅、续航持久、散热效果好","3C数码产品运行流畅、续航持久，散热效果良好"
"R220","3C数码","0","系统更新后卡顿、部分功能失效","3C数码产品系统更新后出现卡顿，部分功能失效"
"R221","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R222","3C数码","0","摄像头进灰、拍照模糊、品控差","3C数码产品摄像头进灰、拍照模糊，产品品控较差"
"R223","3C数码","1","屏幕护眼、显示清晰、操作便捷","3C数码产品屏幕护眼、显示清晰，操作方式便捷"
"R224","3C数码","0","耳机漏音、佩戴不贴合、续航短","3C数码耳机漏音、佩戴不贴合，产品续航时间短"
"R225","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R226","3C数码","0","移动硬盘传输速度慢、易发热、无法识别","3C数码移动硬盘传输慢、易发热，存在无法识别的问题"
"R227","3C数码","1","充电器快充、不伤电池、兼容性强","3C数码充电器支持快充、不伤电池，产品兼容性强"
"R228","3C数码","0","平板触控不灵敏、手写笔延迟高","3C数码平板触控不灵敏，配套手写笔延迟较高"
"R229","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R230","3C数码","0","音箱破音、低音效果差、连接距离近","3C数码音箱出现破音、低音效果差，连接距离近"
"R231","生鲜","0","草莓磕碰腐烂、保鲜层无冰袋、配送超时","生鲜草莓磕碰腐烂，保鲜层无冰袋，商家配送超时"
"R232","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R233","生鲜","0","海鲜解冻后出水多、肉质松散、不新鲜","生鲜海鲜解冻后出水多、肉质松散，产品不新鲜"
"R234","生鲜","1","水果新鲜、果蒂翠绿、甜度高、包装严实","生鲜水果新鲜、果蒂翠绿、甜度高，商家包装严实"
"R235","生鲜","0","蔬菜发黄枯萎、有虫眼、泥沙未清理","生鲜蔬菜发黄枯萎、有虫眼，泥沙未清理干净"
"R236","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R237","生鲜","0","肉类解冻后有异味、筋膜多、分量不足","生鲜肉类解冻后有异味、筋膜多，产品分量不足"
"R238","生鲜","1","虾类鲜活、个头均匀、无冰衣、性价比高","生鲜虾类鲜活、个头均匀、无冰衣，产品性价比高"
"R239","生鲜","0","榴莲生熟不均、果肉少、果核大","生鲜榴莲生熟不均、果肉少、果核大，品质不佳"
"R240","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R241","生鲜","0","蓝莓表皮发霉、果粒干瘪、口感酸涩","生鲜蓝莓表皮发霉、果粒干瘪，口感酸涩"
"R242","生鲜","1","蔬菜现摘现发、新鲜水灵、配送快","生鲜蔬菜现摘现发、新鲜水灵，商家配送速度快"
"R243","生鲜","0","鸡蛋运输中破碎、无防震包装、商家仅补寄一半","生鲜鸡蛋运输中破碎，无防震包装，商家仅补寄一半"
"R244","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R245","生鲜","0","芒果催熟过度、果肉软烂、有酒味","生鲜芒果催熟过度、果肉软烂，有酒味，已变质"
"R246","餐饮","0","外卖漏送餐具、菜品撒漏、包装破损","餐饮外卖漏送餐具、菜品撒漏，包装出现破损"
"R247","餐饮","1","无","餐饮产品品质及口感良好，无负面问题"
"R248","餐饮","0","菜品凉透、口感差、食材不新鲜、分量少","餐饮菜品凉透、口感差，食材不新鲜且分量少"
"R249","餐饮","1","送餐快、菜品保温好、味道正宗、分量足","餐饮外卖送餐快、菜品保温好，味道正宗且分量足"
"R250","餐饮","0","商家发错菜品、售后仅退款5元、态度差","餐饮商家发错菜品，售后仅退款5元，服务态度差"
"R251","餐饮","1","无","餐饮产品品质及口感良好，无负面问题"
"R252","餐饮","0","螺蛳粉无汤包、配料不全、粉身煮烂","餐饮螺蛳粉无汤包、配料不全，粉身煮烂"
"R253","餐饮","1","奶茶甜度适中、珍珠Q弹、包装防漏","餐饮奶茶甜度适中、珍珠Q弹，商家包装防漏"
"R254","餐饮","0","炸鸡外皮变软、肉质柴、无蘸料","餐饮炸鸡外皮变软、肉质柴，商家未配蘸料"
"R255","餐饮","1","无","餐饮产品品质及口感良好，无负面问题"
"R256","餐饮","0","米饭夹生、菜味偏咸、餐具不干净","餐饮米饭夹生、菜味偏咸，配套餐具不干净"
"R257","餐饮","1","披萨拉丝好、芝士浓郁、食材新鲜","餐饮披萨拉丝效果好、芝士浓郁，食材新鲜"
"R258","餐饮","0","麻辣烫菜品不新鲜、汤底无味、辣油劣质","餐饮麻辣烫菜品不新鲜、汤底无味，配套辣油劣质"
"R259","餐饮","1","无","餐饮产品品质及口感良好，无负面问题"
"R260","餐饮","0","寿司米发硬、刺身不新鲜、酱料少","餐饮寿司米发硬、刺身不新鲜，配套酱料少"
"R261","服装","0","双面尼大衣起球、粘毛、干洗后变形","服装双面尼大衣起球、粘毛，干洗后出现变形"
"R262","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R263","3C数码","0","智能手表续航短、心率监测不准、无法连接手机","3C数码智能手表续航短、心率监测不准，无法连接手机"
"R264","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R265","生鲜","0","车厘子果柄干枯、果身有划痕、甜度低","生鲜车厘子果柄干枯、果身有划痕，甜度低"
"R266","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R267","餐饮","0","煲仔饭锅巴糊掉、腊肉发咸、米饭量少","餐饮煲仔饭锅巴糊掉、腊肉发咸，米饭分量少"
"R268","餐饮","1","无","餐饮产品品质及口感良好，无负面问题"
"R269","服装","0","运动服速干效果差、出汗后贴皮肤、透气性差","服装运动服速干效果差，出汗后贴皮肤，透气性差"
"R270","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R271","3C数码","0","投影仪画面发灰、对焦模糊、噪音大、白天看不清","3C数码投影仪画面发灰、对焦模糊、噪音大，白天无法看清"
"R272","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R273","生鲜","0","圣女果大小不均、有裂口、口感发涩","生鲜圣女果大小不均、有裂口，口感发涩"
"R274","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R275","餐饮","0","水果茶果肉少、茶底发苦、冰量过多、无少冰选项","餐饮水果茶果肉少、茶底发苦，冰量过多且无少冰选项"
"R276","餐饮","1","无","餐饮产品品质及口感良好，无负面问题"
"R277","服装","1","真皮鞋子柔软、不磨脚、鞋底防滑、做工精细","服装真皮鞋子柔软、不磨脚，鞋底防滑、做工精细"
"R278","3C数码","1","充电宝容量足、快充、便携、可上飞机","3C数码充电宝容量足、支持快充，便携且可带上飞机"
"R279","生鲜","1","三文鱼刺身新鲜、纹理清晰、厚度适中、配送保鲜好","生鲜三文鱼刺身新鲜、纹理清晰、厚度适中，配送保鲜效果好"
"R280","餐饮","1","汉堡胚松软、肉饼多汁、蔬菜新鲜、酱料适中","餐饮汉堡胚松软、肉饼多汁，蔬菜新鲜、酱料适中"
"R281","服装","0","毛衣掉毛严重、扎皮肤、洗后起球结块","服装毛衣掉毛严重、扎皮肤，清洗后起球结块"
"R282","3C数码","0","无线充充电慢、发热严重、易断开、不支持快充","3C数码无线充充电慢、发热严重、易断开，不支持快充"
"R283","生鲜","0","玉米棒不新鲜、有虫眼、煮后口感发柴、无甜味","生鲜玉米棒不新鲜、有虫眼，煮后口感发柴、无甜味"
"R284","餐饮","0","酸辣粉汤底浑浊、粉条断节、花生不脆、醋包漏液","餐饮酸辣粉汤底浑浊、粉条断节，花生不脆，醋包漏液"
"R285","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R286","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
