review_id,category,label_raw,review_text,source_file,review_time,review_text_zh,category_en,en_source
R0194,热水器,0,Forced to cancel existing order just to add a guarantee. Terrible customer experience!,online_shopping_10_cats.csv,2026-02-21 01:36:27,第一次烧的很快，第二次就开始慢了，总体还不错,热水器,offline_template_match
R0892,平板,0,All rotten! Better buy at a physical store. Online isn't that much cheaper anyway.,online_shopping_10_cats.csv,2026-03-15 21:16:10,无线卡的要死，信号满格，微信都刷不多，都是……B／s,平板,offline_template_match
R0998,平板,0,Still have the same issue after factory reset. Keeps popping up errors.,online_shopping_10_cats.csv,2026-01-16 04:22:53,反应慢，容易卡机，客服不是很用心，需提高素质,平板,offline_template_match
R0355,衣服,1,"Really good, this tablet works perfectly for my needs.",online_shopping_10_cats.csv,2026-03-29 21:39:33,裤子大小刚刚合适，颜色无色差，款式也比较时尚，下次继续购买！,衣服,offline_template_match
R0451,酒店,0,"Average environment, cold service. Close to airport but not much else.",online_shopping_10_cats.csv,2026-02-22 11:26:55,太吵了，飞机声音太大,酒店,offline_template_match
R0477,手机,1,"Apples are great, bought them for my son. Fast logistics too!",online_shopping_10_cats.csv,2026-02-02 08:38:41,信号好！闹铃中有一星期中具体某几日响铃，很方便了！显示屏在强光下，比以前那个明显清晰！,手机,offline_template_match
R0213,洗发水,1,Service quality is decent despite some new staff. Good experience overall.,online_shopping_10_cats.csv,2026-01-08 12:27:40,非常好用，一直在京东超市买洗发水，物美价廉物流超快！,洗发水,offline_template_match
R0248,平板,0,Only one partition (C drive) and no CD-ROM. Backup system is a pain.,online_shopping_10_cats.csv,2026-01-14 09:34:56,很失望32G手机内存打开一看只有23G，为什么！！而且包装里面华为的耳机线也没有！！,平板,offline_template_match
R0281,衣服,0,Terrible! Causes dandruff after washing. Doubt it's authentic. One star.,online_shopping_10_cats.csv,2026-02-07 13:48:27,东西一般~平时会给好评的~但是看到这京东老板太给力了~也来个差评把,衣服,offline_template_match
R0051,平板,0,Got dandruff right after using this. I need an explanation from the seller!,online_shopping_10_cats.csv,2026-01-19 03:12:49,差差差评，买了就便宜，用的特别不好,平板,offline_template_match
R0322,蒙牛,0,"The hardware is okay, but service is terrible. Staff show no respect to guests. Check-in/out took forever. Disappointed.",online_shopping_10_cats.csv,2026-03-12 17:06:08,呼吁广大想自杀的朋友！请认准蒙牛商标！堪称现代版“砒霜”，谨防假冒！效果看得见！,蒙牛,offline_template_match
R0719,热水器,1,Much cheaper than supermarket. Definitely my third purchase. Highly recommended.,online_shopping_10_cats.csv,2026-03-18 04:49:35,我这已经是很多次在这家买东西了，卖家服务真的是超好，而且信用是直得信耐的，快递也非常的快，是顺丰哦 ，直得大家放心的去买。,热水器,offline_template_match
R0511,平板,1,"Great price, sweet and sour taste, very crispy. Good buy during promotion.",online_shopping_10_cats.csv,2026-03-19 09:55:21,包装很好，一开机提示升级，简间设置一下然后开始使用，反应好快，不错，价钱合理。,平板,offline_template_match
R0455,洗发水,0,Touch buttons are way too sensitive. Very frustrating to use.,online_shopping_10_cats.csv,2026-01-30 03:46:03,我觉得不好，和超市比，这个一点味没有，下次不回买,洗发水,offline_template_match
R0673,水果,1,"Looks good, haven't used yet. Always trust JD for my shopping.",online_shopping_10_cats.csv,2026-03-03 21:47:30,物流快，东西是正品，信赖京东。,水果,offline_template_match
R0686,平板,0,Forced to cancel existing order just to add a guarantee. Terrible customer experience!,online_shopping_10_cats.csv,2026-01-29 01:42:05,京东不讲道理不给退货，枉我曾经那么信任你们,平板,offline_template_match
R0125,书籍,0,All rotten! Better buy at a physical store. Online isn't that much cheaper anyway.,online_shopping_10_cats.csv,2026-02-06 19:42:22,男的搞婚外情，女的红杏出墙。什么玩意 看了上部的一半就看不下去了，作者想通过这么书表达什么不管，但这种书很容易就传达一种对婚姻不忠的态度，让世人以为这是正常的事情，晕倒。什么和什么嘛。批判强烈批判！这种书也能流行，唉 这时代价值取向真有问题啊。,书籍,offline_template_match
R0444,洗发水,0,Still have the same issue after factory reset. Keeps popping up errors.,online_shopping_10_cats.csv,2026-02-23 07:54:13,我买的是油性，无硅油，生姜，强根固发的那种，洗过头发感觉油油的，搞不清楚什么回事，第一次用，告诉我，我是不是收到次品了，怎么会这样，京东的快递到是没的说，一只很棒。,洗发水,offline_template_match
R0416,水果,0,"Average environment, cold service. Close to airport but not much else.",online_shopping_10_cats.csv,2026-02-02 22:51:10,"买了几次,一次比一次差的口感,不想再卖=买了.",水果,offline_template_match
R0119,洗发水,0,Only one partition (C drive) and no CD-ROM. Backup system is a pain.,online_shopping_10_cats.csv,2026-04-01 15:29:04,3支装在一个盒里无任何间隔保护，其中的一支已经打开漏出。,洗发水,offline_template_match
