,index,text,sentiment,confidence,pain_points,summary_zh
45,45,国产的精品 ，非常好用，做工一级棒，使用感觉非常好。...,positive,0.95,,用户称赞商品为国产精品，做工优秀，使用体验非常好。
46,46,珍爱生命远离蒙牛...,negative,0.9,,用户强烈建议避免购买蒙牛产品，表达了对该品牌的负面情感。
47,47,太吵了，6:30就被外面的吵醒了，房间并不是很大，还是商务房呢……...,negative,0.9,"噪音大,房间小",用户抱怨房间噪音大，早上6:30被吵醒，且房间空间较小，不符合商务房预期。
48,48,京东购物比较实惠，物流速度也快。...,positive,0.9,,用户称赞京东购物实惠且物流速度快。
49,49,有点小失落。自己穿起来没那么好看。不在给网上买裤子了。除短裤。...,negative,0.9,尺寸不符,用户对裤子不满意，认为穿起来不好看，表示不再在网上购买裤子（除短裤外）。
50,50,差差差评，买了就便宜，用的特别不好...,negative,0.9,质量差,用户对商品质量非常不满意，认为价格虽便宜但使用体验差。
51,51,我们要了2个房间，一个有阳台一个没有，感觉明显有阳台的房间感觉比较舒服，没阳台的就很压抑。...,neutral,0.6,,用户比较了两个房间，有阳台的房间感觉舒适，没阳台的房间感觉压抑。
52,52,物流很快，包装很好，绝对正品，值得拥有。...,positive,0.95,,用户称赞物流快速、包装完好、商品为正品，整体非常满意。
53,53,宝贝刚刚收到，很不错，颜色、尺寸都刚好，给足全部满5分...,positive,0.95,,用户对商品表示满意，颜色和尺寸都合适，并给予满分评价。
54,54,一个星都无才正对的，差差差！...,negative,0.95,,用户对商品或服务极度不满，表示连一星都不想给，并多次强调差评。
55,55,2007年12月底住的。地方在小路上，司机不一定找得到。屋里霉味极重，房间脏，没热水。第二天他们告诉...,negative,0.95,"霉味重,房间脏,没热水,客服态度差,早餐差,位置难找",用户入住时遇到霉味重、房间脏、没热水等问题，客服态度差且早餐质量低，总体体验很差，建议商家改善。
56,56,"其实挺喜欢的,就是没有坚持看下去,这可能是很多外语不好的人的通病吧...",neutral,0.7,,用户表示喜欢商品，但未坚持使用，可能与外语能力有关。
57,57,淮南金茂国际酒店，在淮南应该算是不错的酒店了，房间里茶几上的淮南地图很有特色，给人一种温馨的感觉。地...,positive,0.9,地理位置偏,评论整体好评，称赞酒店设施温馨、乒乓球房不错，但指出地理位置较偏，出行需打车。
58,58,不咋样啊，，洗了头出来头皮屑就多...,negative,0.9,头皮屑多,用户表示产品效果不佳，使用后头皮屑增多。
59,59,"硬盘声音太响了, 和以前的老光驱里读盘得声音差不多.开始以为是电脑的问题,查了一下,据说很多人都说这...",negative,0.8,"硬盘声音响,价格偏高",用户反映硬盘噪音大，类似老光驱读盘声，且认为价格相比同等配置偏高。
60,60,噪音太大，像素太差，没有说的后1300前500那么高的像素，最多后500-第一次用华为失望，太失望，...,negative,0.95,"噪音太大,像素太差,像素不符",用户对产品噪音大、像素差且与宣传不符表示极度失望，并表达了对华为品牌的不信任。
61,61,16楼新装修的房间有些味道，房间装修得还不错，就是有点小，卫生间的淋浴间是全玻璃的，有点意思，也很大...,positive,0.85,"房间有味道,房间小,卫生间小,硬件较差",评论者称赞酒店地理位置好、服务优秀，但指出房间有装修味道、空间较小，硬件设施稍差。
62,62,一个字差，一看真是无语，便宜没好货无语呀本来一星都不给...,negative,0.95,,用户对商品非常失望，认为便宜没好货，甚至不想给一星评价。
63,63,两个字差评...,negative,0.9,,用户仅用“差评”二字表达不满，未提及具体问题。
64,64,"收到货,布料不太好，给爸爸买的，还没拿回老家给爸爸试穿，不知道能否穿的？...",negative,0.7,布料不好,用户对布料质量表示不满，并提到尚未试穿，不确定是否合身。
65,65,裤子尺寸刚好，很合身。穿得舒服质量不错，裤子版型也很好看！不错！...,positive,0.95,,用户对裤子的尺寸、舒适度、质量和版型都表示满意，整体评价积极。
66,66,多次购买新鲜爽甜，80个头大大个，物流超快，上午9点前下单，下午16点收货...,positive,0.95,,用户多次购买，称赞商品新鲜爽甜、个头大，并表扬物流速度快，下单当天即收货。
67,67,非常不错的平板，只不过一分钱一分货，屏幕触摸需要用点力气...,positive,0.7,屏幕触摸需用力,用户认为平板整体不错，但屏幕触摸需要用力，可能影响使用体验。
68,68,刚收的货，看见包装的那一刻 心已然凉了一截，回家拆开 衣服布料不咋样，做工很粗糙。偏小...,negative,0.95,"包装差,布料差,做工粗糙,尺寸偏小",用户对包装、布料、做工和尺寸均不满意，整体评价负面。
69,69,华为正品，M3很好用，第一次开机连wifi直接升安卓7.0，华为系统优化的比较好。京东服务放心。...,positive,0.95,,用户确认华为M3为正品，系统优化好，升级顺利，并对京东服务表示满意。
70,70,酒店位置很好，出行打车非常方便，很不错的公寓式酒店。特别是行政楼，边吃早餐即可把房退了，很方便，不用...,positive,0.95,,用户称赞酒店位置便利、出行方便，特别是行政楼早餐和退房服务便捷，表示会再次入住。
71,71,蒙牛就是牛?有问题的牛奶就不赔偿?你能怎么样?...,negative,0.9,"质量问题,客服处理不当",用户投诉牛奶有问题且商家不赔偿，表达强烈不满。
72,72,定了两间房，酒店登记太慢，足足等了快一小时。早餐还要排队，又难吃，提了建议也不听。是我住过最差的五星...,negative,0.95,"登记慢,早餐排队,早餐难吃,建议不听,不值价格",用户抱怨酒店登记耗时过长、早餐排队且难吃，提出建议未被采纳，认为这是住过最差的五星酒店，性价比低。
73,73,给妈妈买的*用着还可以，就是说好的送保护套，结果没有，询问客服也是一样没有结果。。。还要花*钱再自己...,negative,0.9,"未送保护套,客服无结果",用户对商品本身使用体验尚可，但商家未按承诺赠送保护套，且客服处理无效，导致用户失望并需额外购买。
74,74,宝贝质量不错，送货神速。快递服务态度很好，而且价钱便宜，品质有保障，京东值得信赖，...,positive,0.95,,用户对商品质量、快递速度、服务态度、价格和京东信誉都表示满意，整体好评。
75,75,回复 太客气了！这么晚了还在服务！…感谢对蒙牛产品的支持...,positive,0.9,,用户感谢客服深夜服务，表达对蒙牛产品的支持。
76,76,“此内容为不实消息，已处理。”就因为蒙牛说不实新浪你就说它不实吗？抵制蒙牛放心奶，辛苦了，2月30日...,negative,0.8,,用户质疑蒙牛产品的不实消息，并表达抵制情绪，暗示对品牌信任度下降。
77,77,距拱北关口步行15分钟可以到达，很方便，酒店豪华标准间太小，卫生间设施有点旧，但是热水充足，在改住0...,neutral,0.7,"房间太小,设施旧,早餐品种不多",评论提到酒店位置便利，但房间小、设施旧，早餐品种有限，不过服务好，热水充足，且通过旅行社预订价格更优。
78,78,裤子质量很好，这个价钱能买到这质量的裤子，真的是超值。做工完美，无论缝线还是质量上都很好。完美的一次...,positive,0.95,,用户对裤子质量和做工非常满意，认为性价比高，是一次完美的购物体验，并表示会再次购买。
79,79,大小的话，还行吧？颜色也好看，吃起来是那种脆脆的！比较甜，没多久就吃完了。所以说还是不错的，有点点小...,positive,0.8,,用户认为苹果大小合适、颜色好看、口感脆甜，整体不错，但价格稍贵，不过与超市相比尚可接受。
80,80,从2004年起每年都会入住或介绍朋友入住，在豪生管理---退出---又接收管理的过程中，明显有不同的...,positive,0.8,硬件设施待改进,评论者长期入住该酒店，认为豪生重新管理后软件服务有进步，但硬件设施需要维护和改进，整体评价为不错的休闲度假酒店。
81,81,一个好的一个坏的，本来给孩子买的，结果怕孩子吃坏了肚子都没敢让吃...,negative,0.8,质量担忧,用户因担心产品质量问题，不敢让孩子食用，表达了对商品的负面评价。
82,82,开始下单时说是22号到货，可是直到23号下午才送到，垃圾产品，假货，我要的是32G的，收到后发现只有...,negative,0.95,"物流延迟,产品虚假,容量不符,客服失联",用户投诉物流延迟、产品为假货且容量不符，联系商家无回应，表达强烈不满。
83,83,一颗心都不想给，并不便宜，主要是苹果是粉的，而且还很小，这个价格希望你们不要在这家买...,negative,0.95,"质量差,尺寸小,价格高",用户对苹果的质量和尺寸不满意，认为价格过高，建议其他买家不要购买。
84,84,感觉价钱非常贵，房间还算干净，就是有股潮湿味道。设备东西都还蛮齐全的。感觉非常不错。早餐挺好的，吃得...,neutral,0.7,"价钱贵,潮湿味道",用户认为价格偏高且房间有潮湿味道，但整体设施齐全、早餐丰盛、周边便捷，体验不错。
85,85,还行还行还行真好真好正品...,positive,0.9,,用户表示商品还行，并强调是正品，整体评价积极。
86,86,很不错，还有弹性，物流也很给力！五星好评！...,positive,0.95,,用户对商品质量和物流服务表示满意，并给予五星好评。
87,87,不给送货却让自己去站点自提，包装差收到货外面都破了，平板连出厂贴膜都没有，平板外观全是指纹和别人用过...,negative,0.95,"物流差,包装破损,平板无出厂贴膜,平板外观指纹,平板疑似二手,无发票,无入网许可证,送货通知晚",用户对送货服务、包装和商品状态（如平板外观、贴膜、发票缺失）表示强烈不满，整体体验差，影响对京东的信任。
88,88,老五星级酒店，358元标房，价格实惠，就是房间电视太小，其他不错。...,positive,0.8,电视太小,用户认为酒店价格实惠，整体不错，但指出房间电视太小。
89,89,镜面效果不错，声音挺小。特别喜欢屏幕前面的网罩那块，同事看了也买了个！...,positive,0.95,,用户称赞镜面效果好、声音小，并特别喜爱屏幕前的网罩，同事也受推荐购买。
90,90,挺垃圾的，没有买的朋友千万不要买了，分辨率超低，像素差，信号弱。...,negative,0.95,"分辨率低,像素差,信号弱",用户强烈批评商品质量差，包括分辨率低、像素差和信号弱，并建议他人不要购买。
91,91,质量差，与图片不符，垃圾...,negative,0.95,"质量差,与图片不符",用户批评商品质量差，与图片不符，表达强烈不满。
92,92,"根本就没发给我,没货了不说一声,随便取消就完了.........",negative,0.95,"缺货未通知,订单随意取消",用户投诉商品未发货，商家未提前通知缺货就随意取消了订单。
93,93,这什么意思，这货都给你们发过去8天了你们是换还是不换，要不把钱退了...,negative,0.9,"客服响应慢,换货处理延迟",用户对换货处理延迟表示不满，要求退款。
94,94,听筒声音好小哦，在屋里面讲电话还可以，在外面听不清楚，急死人了；200W的摄像头，我也没感觉出什么来...,negative,0.85,"听筒声音小,摄像头效果一般",用户反映听筒声音太小，在户外通话不清晰，且摄像头效果一般，未达到预期。
95,95,所谓的大果就是图中我发的拳头那么大。我的手在男人里面还算是偏小的。大家自己比划一下就有概念了，所以老...,negative,0.9,尺寸不符,用户抱怨商品尺寸与描述不符，导致妻子生气，因此给出差评。
96,96,非常不好用，首先洗发和润发的瓶子一样，使用时不好分辨。另外润发的效果非常差，洗完头的第二天，风一吹就...,negative,0.95,"瓶子难分辨,润发效果差,头发打结",用户对产品非常不满意，指出洗发和润发瓶子难以区分，且润发效果差导致头发干枯打结，认为价格与质量不符。
97,97,东西送到 没用我点确认收获 自动提交了 京东是什么玩意 裤子夏天穿可以...,negative,0.8,自动确认收货,用户对京东自动确认收货功能表示不满，但认为裤子适合夏天穿。
98,98,发过来的衣服是有破洞的。需要自己把衣服付运费发过去，由他门判断是不是他们的问题，然后再决定是否给你退...,negative,0.95,"质量差,客服处理不当,退款流程不合理",用户收到有破洞的衣服，对商家质检问题和退款流程表示强烈不满，并失去信任。
99,99,好，很好，非常好。唯一可惜的是同款式颜色不齐全。...,positive,0.9,颜色不齐全,用户对商品非常满意，但指出同款式颜色选择有限。
100,100,性价比很高的一款平板，华为大品牌，值得信赖！...,positive,0.95,,用户称赞平板性价比高，并信任华为品牌。
101,101,佩服京东，这么袖珍的小苹果是在哪里进到的货？还敢说是红富士？当别人都没吃过红富士是吗？那些评价说苹果...,negative,0.95,"尺寸不符,质量不符",用户批评苹果尺寸袖小、品种不符红富士，并质疑好评真实性。
102,102,还能凑活。线头太多...,neutral,0.7,线头太多,用户表示商品勉强可用，但指出线头过多，质量有待改进。
103,103,"触摸板不可用.键盘时好时坏,散热效果不好. 最重要的是,京东商城不给依法办理退货....",negative,0.95,"触摸板不可用,键盘时好时坏,散热效果不好,退货问题",用户反映触摸板不可用、键盘不稳定、散热效果差，且京东商城未依法办理退货，整体体验很差。
104,104,包装完美，赠品也很好一直信赖的产品...,positive,0.95,,用户称赞包装完美、赠品很好，并表示一直信赖该产品。
105,105,1、26万色内屏显示效果一流；2、网络切换方式快捷方便；3、电话本功能齐全；4、外观成熟大方。...,positive,0.95,,用户对产品的显示效果、网络切换、电话本功能和外观设计均表示满意，整体评价积极。
106,106,好差，洗了头皮长豆包，好难受，太假了...,negative,0.95,"质量差,使用后不适",用户抱怨产品差，使用后头皮长痘，感到难受，认为产品虚假。
107,107,还行！外观上和厚度上都蛮满意的...,positive,0.8,,用户对商品的外观和厚度表示满意，整体评价积极。
108,108,通过协程订的。宾馆位置一般，只离苍浪亭近些，从高速下来还算方便。店内环境好，房间空间大，空调不错、洗...,positive,0.95,,用户对宾馆位置一般但交通方便，环境、房间设施和早餐表示满意，尤其喜欢落地窗外的园林景观，整体推荐。
109,109,酒店还好吧，就是一楼的中餐馆上菜速度暴慢。房间里面有电脑，比较方便一些。...,neutral,0.7,上菜速度慢,酒店整体尚可，房间有电脑较方便，但一楼中餐馆上菜速度很慢。
110,110,去**的 13天才到。真尼吗壁的快...,negative,0.95,物流慢,用户抱怨物流速度极慢，13天才送达，表达强烈不满。
111,111,已经对蒙牛这个不负责之国企，彻底失望了！...,negative,0.95,,用户对蒙牛公司表示彻底失望，批评其不负责任。
112,112,才一天就坏了。。。屏幕突然闪不停。...,negative,0.95,"质量差,屏幕故障",用户反映商品仅使用一天就出现屏幕闪烁问题，表示不满。
113,113,这苹果买了多次了，很满意，信任京东...,positive,0.95,,用户多次购买苹果，对商品满意并信任京东平台。
114,114,外观可以，不怎么好用，清晰...,neutral,0.6,不好用,用户认为产品外观不错，但使用体验不佳，清晰度方面可能存在问题。
115,115,东西本身还不错，但是卖家的各种促销活动真是让人呵呵，一次性买了5台，说好的赠品一样也没有，说是赠完为...,negative,0.9,"促销活动问题,赠品缺失,订单处理不当",商品本身尚可，但促销活动混乱，赠品未兑现，且订单处理方式不合理，导致用户不满。
116,116,只能给一分，华为出这么差劲的产品真的是自毁品牌，还世界500强，画面感超级模糊，很卡，电量消耗的特别...,negative,0.95,"画面模糊,卡顿,电量消耗快,尺寸不符",用户对产品非常失望，批评画面模糊、卡顿、电量消耗快，并认为产品尺寸不符，更像宽屏手机而非平板电脑。
117,117,怎么安装，找谁安装呢？...,neutral,0.6,,用户询问商品安装方法和安装服务提供方，未表达明确情感。
118,118,3支装在一个盒里无任何间隔保护，其中的一支已经打开漏出。...,negative,0.9,"包装破损,包装无保护",用户反馈包装无间隔保护，导致其中一支商品已打开并漏出，表达不满。
119,119,好像是假的 和没用一样...,negative,0.9,质量差,用户怀疑商品是假货，并认为其效果不佳。
120,120,发货速度慢！好不容易收到了结果商品还给发错了！！！还得申请换货，来回还得半个多月时间！！！...,negative,0.95,"发货速度慢,商品发错",用户抱怨发货速度慢，且收到错误商品，需要换货，整个过程耗时较长。
121,121,1 跟我以前的ibmx31 比起来键盘键要松，但好像更容易敲 更省力 2 随机的vista也不错啊 ...,positive,0.9,,用户对产品整体满意，称赞键盘易用、配置合理、音视频出色，并表扬京东送货服务，建议给送货员加工资。
122,122,怎么没有吹风机，啊。我买的时候明显有的。...,negative,0.9,商品缺失,用户抱怨购买时商品（吹风机）存在，但实际未收到，表达不满。
123,123,太糟糕，非常糟糕，所有网站图片，广告宣传都是骗人的！房间太宅太小，连热水都还限时供应，争分夺秒地洗澡...,negative,0.95,"房间太小,热水限时供应,客服态度差",用户强烈不满，认为广告虚假，房间太小且热水限时供应，客服处理不当。
124,124,男的搞婚外情，女的红杏出墙。什么玩意 看了上部的一半就看不下去了，作者想通过这么书表达什么不管，但这...,negative,0.95,,用户强烈批判书籍内容，认为其传达对婚姻不忠的态度，并质疑时代价值取向。
125,125,空调是分体式的，声音实在太响了！并且时不时地发出噼啪声，几乎无法入睡。入住时前台实在太不专业，一边在...,negative,0.95,"声音太响,前台不专业,入住手续慢,预授权问题",用户投诉空调噪音大影响睡眠，前台服务不专业导致入住手续缓慢和预授权操作错误。
126,126,有点大了，不过也不错...,neutral,0.6,尺寸偏大,用户认为商品尺寸偏大，但整体评价尚可。
127,127,说送的耳机也没有，说的返利也没有，今天刚收到。不要轻信他们客服，说到的做不到。还不知道质量怎么样。...,negative,0.9,"承诺未兑现,客服不可信",用户抱怨未收到承诺的耳机和返利，并质疑客服诚信，对商品质量表示担忧。
128,128,送货速度很快，大小也适中，水分很足，不错...,positive,0.95,,用户对送货速度、商品大小和水分表示满意，整体评价积极。
129,129,裤子非常好，质量简直没得说。可以推荐大家购买哈哈哈，穿的很舒服。...,positive,0.95,,用户对裤子质量非常满意，穿着舒适，并推荐购买。
130,130,裤子很不错，摸着很舒服，质量特别好，洗了也不掉色。...,positive,0.95,,用户称赞裤子质量好、手感舒适且不掉色，整体非常满意。
131,131,至少我没觉得好看，根本就不吸引我，没什么可笑得，有些词很深辟。书的印刷很不错，内容没介绍的好。...,negative,0.8,"内容不符预期,印刷质量好",用户认为书的内容不够吸引人、不有趣且有些词深奥，与介绍不符，但印刷质量不错。
132,132,酒店的地段好，我们去周围的商务机构办事非常方便；楼下就是置地广场，有LV、gucci...一串高中档...,neutral,0.7,"网络问题,早餐品种少,街道拥挤,窗帘问题",酒店地段好、房间有特色、服务较好，但存在网络连接问题、早餐品种少、街道拥挤和窗帘使用不便等缺点。
133,133,一点都不好，，，洗了很痒，差评...,negative,0.95,质量差,用户表示产品使用后导致皮肤发痒，给出差评。
134,134,真心不咋地 买了屏幕是坏的 虽然是退货了 但是中间也隔了好多天 新机器 一充电屏幕立马失灵 华为的手...,negative,0.95,"屏幕损坏,充电失灵,退货延迟,屏幕通病",用户反映手机屏幕损坏，充电后失灵，退货过程延迟，并指出华为手机屏幕存在通病，整体体验差。
135,135,很好，一直在买...,positive,0.9,,用户表示商品很好，并持续购买，整体评价积极。
136,136,不怎么样！不怎么样！不怎么样！不怎么样！不怎么样！不怎么样！不怎么样！...,negative,0.95,,用户重复表达不满，整体评价非常负面，但未提及具体问题。
137,137,到货了 就穿一次 现在在那扔着呢...,negative,0.8,,用户表示商品到货后只穿了一次，现在闲置不用，暗示不满意。
138,138,17号下的单20号因为急用（朋友生日）所以放弃了赠品杀毒软件，不然提不到货，听说是赠品缺货。...,neutral,0.7,赠品缺货,用户因急用放弃赠品以提货，提及赠品缺货问题。
139,139,jingdong发货速度快，苹果?小了点，但还可以！...,positive,0.8,尺寸小,用户称赞京东发货速度快，但提到苹果尺寸偏小，整体评价积极。
140,140,"内容简单易懂,色彩柔和,教会宝宝日常生活中应有的礼貌,行为等.如玩耍时要学会排队,谦让......",positive,0.95,,用户称赞内容简单易懂、色彩柔和，并认为产品能教会宝宝日常礼貌和行为，如排队和谦让。
141,141,用户评价是电商行业信用体系建设的基础，只有电商平台、商家、消费者三方共同建立一套公开、公正、透明的评...,neutral,0.6,,用户评论包含对电商评价机制的讨论，并提到商品质量还行，整体情感中性。
142,142,不太好用，不知道是不是假的，还生头屑了，第一次发生这事，可怜我买了两盒...,negative,0.9,"质量差,生头屑",用户表示产品不好用，怀疑是假货，并导致头屑问题，对购买两盒感到失望。
143,143,蒙牛笑而不语...,neutral,0.5,,用户评论内容为“蒙牛笑而不语”，情感不明确，无具体商品或服务评价。
